file|algorithm|compression_time|decompression_time|plain_size|plain_size_MiB|MiB_per_sec - comp|MiB_per_sec - decomp
pseudo-real-dblp.xml.00001.2|GCIS-ef|3.9915|0.4009|104857600.0|100.0|25.053238131028436|249.4387627837366
pseudo-real-dblp.xml.00001.2|REPAIR-PlainSlp_32Fblc|18.876275|0.584638|104857600.0|100.0|5.297655390165698|171.0460147989012
pseudo-real-dblp.xml.00001.2|REPAIR-PlainSlp_FblcFblc|18.876275|0.584638|104857600.0|100.0|5.297655390165698|171.0460147989012
pseudo-real-dblp.xml.00001.2|GCX-y16|4.742441|0.178367|104857600.0|100.0|21.0861874718104|560.6418227586942
pseudo-real-dblp.xml.00001.2|GC16|2.237551|0.103329|104857600.0|100.0|44.69171875858919|967.7825199121253
pseudo-real-dblp.xml.00001.2|bzip2|5.0197|1.3664|104857600.0|100.0|19.921509253541046|73.18501170960187
real-influenza|7zip|15.3798|0.2577|154808555.0|147.63694286346436|9.599405900171938|572.9023782051391
real-influenza|GCIS-ef|5.732|0.6746|154808555.0|147.63694286346436|25.75661948071604|218.8510863674242
real-influenza|REPAIR-PlainSlp_32Fblc|23.339881|0.872122|154808555.0|147.63694286346436|6.325522519307805|169.28473638259825
real-influenza|REPAIR-PlainSlp_FblcFblc|23.339881|0.872122|154808555.0|147.63694286346436|6.325522519307805|169.28473638259825
real-influenza|GCX-y16|7.336994|0.292744|154808555.0|147.63694286346436|20.122265721283725|504.3209864709929
real-influenza|GC16|3.577101|0.227686|154808555.0|147.63694286346436|41.272791252878896|648.4234553879656
real-influenza|bzip2|8.6995|1.9615|154808555.0|147.63694286346436|16.970738877345173|75.26736827094793
real-para|7zip|322.3653|0.9885|429265758.0|409.37972831726074|1.2699249215633963|414.14236552074937
real-para|GCIS-ef|20.5282|2.4788|429265758.0|409.37972831726074|19.94231000853756|165.1523835393177
real-para|REPAIR-PlainSlp_32Fblc|71.043428|3.249517|429265758.0|409.37972831726074|5.762387033424973|125.981716149588
real-para|REPAIR-PlainSlp_FblcFblc|71.043428|3.249517|429265758.0|409.37972831726074|5.762387033424973|125.981716149588
real-para|GCX-y16|20.280923|1.257262|429265758.0|409.37972831726074|20.185458438812706|325.6121065595403
real-para|GC16|10.956447|1.838494|429265758.0|409.37972831726074|37.364277700358585|222.67123434575296
real-para|bzip2|17.8206|8.3478|429265758.0|409.37972831726074|22.97227524983787|49.04043320602563
real-einstein.de.txt|7zip|4.2552|0.1125|92758441.0|88.46134281158447|20.788997652656622|786.3230472140842
real-einstein.de.txt|GCIS-ef|3.5253|0.2983|92758441.0|88.46134281158447|25.09328080208336|296.5516017820465
real-einstein.de.txt|REPAIR-PlainSlp_32Fblc|17.343091|0.58112|92758441.0|88.46134281158447|5.100667626756064|152.22560368182903
real-einstein.de.txt|REPAIR-PlainSlp_FblcFblc|17.343091|0.58112|92758441.0|88.46134281158447|5.100667626756064|152.22560368182903
real-einstein.de.txt|GCX-y16|4.363943|0.157324|92758441.0|88.46134281158447|20.270966603272424|562.2876535785034
real-einstein.de.txt|GC16|2.05778|0.106252|92758441.0|88.46134281158447|42.988727080438366|832.5616723599036
real-einstein.de.txt|bzip2|4.4549|1.15|92758441.0|88.46134281158447|19.85708833230476|76.92290679268216
pseudo-real-english.001.2|7zip|11.1364|0.1439|104857600.0|100.0|8.979562515714234|694.9270326615705
pseudo-real-english.001.2|GCIS-ef|4.7944|0.62|104857600.0|100.0|20.857667278491572|161.29032258064515
pseudo-real-english.001.2|REPAIR-PlainSlp_32Fblc|22.421286|0.90598|104857600.0|100.0|4.460047474529338|110.37771253228549
pseudo-real-english.001.2|REPAIR-PlainSlp_FblcFblc|22.421286|0.90598|104857600.0|100.0|4.460047474529338|110.37771253228549
pseudo-real-english.001.2|GCX-y16|5.151826|0.205671|104857600.0|100.0|19.41059344783772|486.21341851792425
pseudo-real-english.001.2|GC16|2.380964|0.119023|104857600.0|100.0|41.9997950410002|840.1737479310722
pseudo-real-english.001.2|bzip2|4.3291|2.3067|104857600.0|100.0|23.09948950128202|43.35197468244678
pseudo-real-sources.001.2|7zip|8.6809|0.1467|104857600.0|100.0|11.519542904537548|681.6632583503749
pseudo-real-sources.001.2|GCIS-ef|4.1795|0.5851|104857600.0|100.0|23.926306974518482|170.91095539224065
pseudo-real-sources.001.2|REPAIR-PlainSlp_32Fblc|20.646384|0.864513|104857600.0|100.0|4.843463145895184|115.67206045484568
pseudo-real-sources.001.2|REPAIR-PlainSlp_FblcFblc|20.646384|0.864513|104857600.0|100.0|4.843463145895184|115.67206045484568
pseudo-real-sources.001.2|GCX-y16|5.231056|0.271616|104857600.0|100.0|19.116599019394936|368.16682375117813
pseudo-real-sources.001.2|GC16|2.290895|0.116689|104857600.0|100.0|43.65106213946951|856.978806914105
pseudo-real-sources.001.2|bzip2|4.0988|1.88|104857600.0|100.0|24.39738460037084|53.19148936170213
pseudo-real-dblp.xml.0001.2|7zip|7.336|0.1349|104857600.0|100.0|13.631406761177754|741.2898443291327
pseudo-real-dblp.xml.0001.2|GCIS-ef|4.0037|0.4188|104857600.0|100.0|24.976896370856956|238.77745940783188
pseudo-real-dblp.xml.0001.2|REPAIR-PlainSlp_32Fblc|18.396422|0.617745|104857600.0|100.0|5.4358396431653935|161.87909250580742
pseudo-real-dblp.xml.0001.2|REPAIR-PlainSlp_FblcFblc|18.396422|0.617745|104857600.0|100.0|5.4358396431653935|161.87909250580742
pseudo-real-dblp.xml.0001.2|GCX-y16|4.757877|0.180609|104857600.0|100.0|21.017777466714673|553.6822638960407
pseudo-real-dblp.xml.0001.2|GC16|2.235538|0.104774|104857600.0|100.0|44.73196161281982|954.4352606562696
pseudo-real-dblp.xml.0001.2|bzip2|4.9355|1.4582|104857600.0|100.0|20.26137169486374|68.57769853243725
