file|algorithm|peak_comp_mib|peak_decomp_mib|compressed_size_mib|plain_size_mib|comp_per_input|decomp_per_input
real-einstein.de.txt|GC8|1106.59856|141.01968|8.327084|88.461343|12.509402666427977|16.93506154135109
real-einstein.de.txt|CBT|226.246094|0.0|0.398076|88.461343|2.5575701919877023|0.0
pseudo-real-english.001.2|GCIS-ef|532.313204|629.971092|4.865474|100.0|5.323132040000001|129.47784573507124
pseudo-real-english.001.2|PlainSlp_32Fblc|1204.010426|5.655609|16.371881|100.0|12.04010426|0.34544650061895765
pseudo-real-english.001.2|GCX-y8|900.338356|220.519958|20.511299|100.0|9.00338356|10.751145405271505
pseudo-real-english.001.2|GC8|1251.490067|155.521187|5.520592|100.0|12.51490067|28.171106830571794
pseudo-real-english.001.2|CBT|932.273438|0.0|5.02|100.0|9.32273438|0.0
pseudo-real-sources.001.2|GCIS-ef|531.023803|626.458771|4.715206|100.0|5.310238030000001|132.85925811088634
pseudo-real-sources.001.2|PlainSlp_32Fblc|1205.239723|5.417068|15.784879|100.0|12.052397229999999|0.34318083781320086
pseudo-real-sources.001.2|GCX-y8|900.454624|220.583988|20.575329|100.0|9.00454624|10.720800041642105
pseudo-real-sources.001.2|GC8|1251.343109|155.372185|5.37159|100.0|12.51343109|28.924803456704623
pseudo-real-sources.001.2|CBT|929.347656|0.0|4.87|100.0|9.29347656|0.0
pseudo-real-dblp.xml.0001.2|GCIS-ef|520.804032|615.356472|0.904555|100.0|5.20804032|680.286408233883
pseudo-real-dblp.xml.0001.2|PlainSlp_32Fblc|1202.92458|1.21286|3.191478|100.0|12.029245800000002|0.38003081957638435
pseudo-real-dblp.xml.0001.2|GCX-y8|933.426251|303.186639|36.515664|100.0|9.33426251|8.302920056444817
pseudo-real-dblp.xml.0001.2|GC8|1250.382469|151.160328|1.159687|100.0|12.503824689999998|130.34579847838253
pseudo-real-dblp.xml.00001.2|CBT|0.0|0.0|0.63|100.0|0.0|0.0
