file|algorithm|nLevels|xs_size|compressed_size|plain_size
real-kernel|GCX-y8|2.0|10318466.0||
|99563258|257961616.0|||
real-kernel|GCX-y16|2.0|4030651.0||
|100796596|257961616.0|||
real-kernel|GCX-y32|2.0|2579617.0||
|103276088|257961616.0|||
real-kernel|GCX-y64|2.0|1791401.0||
|108731668|257961616.0|||
real-kernel|GCX-y128|2.0|1791401.0||
|108731668|257961616.0|||
real-kernel|GC2|15.0|7874.0||
real-kernel|GC4|8.0|3937.0||
real-kernel|GC8|5.0|7873.0||
real-kernel|GC16|4.0|3937.0||
real-kernel|GC32|3.0|7873.0||
real-kernel|GC64|3.0|985.0||
real-kernel|GC128|3.0|124.0||
real-cere|GCX-y4|2.0|115321663.0||
|403626784|461286644.0|||
real-cere|GCX-y8|2.0|12813519.0||
|124421078|461286644.0|||
real-cere|GCX-y16|2.0|3812287.0||
|149341387|461286644.0|||
real-cere|GCX-y32|2.0|3812287.0||
|149341387|461286644.0|||
real-cere|GCX-y64|2.0|3203380.0||
|190150012|461286644.0|||
real-cere|GCX-y128|2.0|3203380.0||
|190150012|461286644.0|||
real-cere|GC2|15.0|14079.0||
real-cere|GC4|8.0|7040.0||
real-cere|GC8|5.0|14078.0||
real-cere|GC16|4.0|7039.0||
real-cere|GC32|3.0|14078.0||
real-cere|GC64|3.0|1760.0||
real-cere|GC128|3.0|220.0||
real-para|GCX-y4||||
real-para|GCX-y8|2.0|11924050.0||
|131913652|429265758.0|||
real-para|GCX-y16|2.0|3547651.0||
|148457441|429265758.0|||
real-para|GCX-y32|2.0|3547651.0||
|148457441|429265758.0|||
real-para|GCX-y64|2.0|2981013.0||
|193409860|429265758.0|||
real-para|GCX-y128|2.0|2981013.0||
|193409860|429265758.0|||
real-para|GC2|14.0|26202.0||
real-para|GC4|7.0|26201.0||
real-para|GC8|5.0|13101.0||
real-para|GC16|4.0|6551.0||
real-para|GC32|3.0|13101.0||
real-para|GC64|3.0|1638.0||
real-para|GC128|2.0|26201.0||
pseudo-real-sources.001.2|GCX-y4|2.0|26214402.0||
|85623484|104857600.0|||
pseudo-real-sources.001.2|GCX-y8|2.0|6553601.0||
|21574796|104857600.0|||
pseudo-real-sources.001.2|GCX-y16|3.0|4369069.0||
|19937140|104857600.0|||
pseudo-real-sources.001.2|GCX-y32|2.0|620460.0||
|45272945|104857600.0|||
pseudo-real-sources.001.2|GCX-y64|2.0|143838.0||
|74780108|104857600.0|||
pseudo-real-sources.001.2|GCX-y128|2.0|32274.0||
|107149485|104857600.0|||
pseudo-real-sources.001.2|GC2|14.0|6401.0||
pseudo-real-sources.001.2|GC4|7.0|6401.0||
pseudo-real-sources.001.2|GC8|5.0|3201.0||
pseudo-real-sources.001.2|GC16|4.0|1601.0||
pseudo-real-sources.001.2|GC32|3.0|3201.0||
pseudo-real-sources.001.2|GC64|3.0|401.0||
pseudo-real-sources.001.2|GC128|2.0|6401.0||
pseudo-real-dblp.xml.00001.1|GCX-y4|2.0|26214402.0||
|85298724|104857600.0|||
pseudo-real-dblp.xml.00001.1|GCX-y8|2.0|11650846.0||
|37804763|104857600.0|||
pseudo-real-dblp.xml.00001.1|GCX-y16|2.0|2912712.0||
|11304674|104857600.0|||
pseudo-real-dblp.xml.00001.1|GCX-y32|3.0|2912714.0||
|12314896|104857600.0|||
pseudo-real-dblp.xml.00001.1|GCX-y64|2.0|409601.0||
|1757636|104857600.0|||
pseudo-real-dblp.xml.00001.1|GCX-y128|2.0|237773.0||
|22976292|104857600.0|||
pseudo-real-dblp.xml.00001.1|GC2|19.0|201.0||
pseudo-real-dblp.xml.00001.1|GC4|10.0|101.0||
pseudo-real-dblp.xml.00001.1|GC8|7.0|51.0||
pseudo-real-dblp.xml.00001.1|GC16|5.0|101.0||
pseudo-real-dblp.xml.00001.1|GC32|4.0|101.0||
pseudo-real-dblp.xml.00001.1|GC64|4.0|7.0||
pseudo-real-dblp.xml.00001.1|GC128|3.0|51.0||
artificial-fib41|GCX-y4|1.0|66978575.0||
|226052740|267914296.0|||
artificial-fib41|GCX-y8|2.0|29768257.0||
|96746910|267914296.0|||
artificial-fib41|GCX-y16|8.0|39377.0||
|121898|267914296.0|||
artificial-fib41|GCX-y32|5.0|8679.0||
|170235|267914296.0|||
artificial-fib41|GCX-y64|4.0|2940.0||
|179683|267914296.0|||
artificial-fib41|GCX-y128|3.0|4426.0||
|278402|267914296.0|||
artificial-fib41|GC2|15.0|8178.0||
artificial-fib41|GC4|8.0|4089.0||
artificial-fib41|GC8|5.0|8177.0||
artificial-fib41|GC16|4.0|4089.0||
artificial-fib41|GC32|3.0|8177.0||
artificial-fib41|GC64|3.0|1023.0||
artificial-fib41|GC128|3.0|128.0||
real-einstein.en.txt|GCX-y4|2.0|116906638.0||
|409378796|467626544.0|||
real-einstein.en.txt|GCX-y8|2.0|29226660.0||
|97651452|467626544.0|||
real-einstein.en.txt|GCX-y16|2.0|9543400.0||
|37482039|467626544.0|||
real-einstein.en.txt|GCX-y32|5.0|2656971.0||
|18616179|467626544.0|||
real-einstein.en.txt|GCX-y64|4.0|1461335.0||
|19861256|467626544.0|||
real-einstein.en.txt|GCX-y128|3.0|749403.0||
|26001058|467626544.0|||
real-einstein.en.txt|GC2|17.0|3569.0||
real-einstein.en.txt|GC4|9.0|1785.0||
real-einstein.en.txt|GC8|6.0|1784.0||
real-einstein.en.txt|GC16|5.0|447.0||
real-einstein.en.txt|GC32|4.0|446.0||
real-einstein.en.txt|GC64|3.0|1784.0||
real-einstein.en.txt|GC128|3.0|223.0||
real-coreutils|GCX-y4|2.0|51320446.0||
|175516214|205281778.0|||
real-coreutils|GCX-y8|2.0|8211272.0||
|85114335|205281778.0|||
real-coreutils|GCX-y16|2.0|4189425.0||
|84717788|205281778.0|||
real-coreutils|GCX-y32|2.0|2052819.0||
|92304302|205281778.0|||
real-coreutils|GCX-y64|2.0|1047357.0||
|104273220|205281778.0|||
real-coreutils|GCX-y128|2.0|633586.0||
|112935528|205281778.0|||
real-coreutils|GC2|13.0|25060.0||
real-coreutils|GC4|7.0|12530.0||
real-coreutils|GC8|5.0|6265.0||
real-coreutils|GC16|4.0|3133.0||
real-coreutils|GC32|3.0|6265.0||
real-coreutils|GC64|3.0|784.0||
real-coreutils|GC128|2.0|12530.0||
artificial-rs.13|GCX-y4|1.0|54186805.0||
|182880528|216747218.0|||
artificial-rs.13|GCX-y8|2.0|24083026.0||
|78269924|216747218.0|||
artificial-rs.13|GCX-y16|8.0|31857.0||
|130196|216747218.0|||
artificial-rs.13|GCX-y32|6.0|18433.0||
|175508|216747218.0|||
artificial-rs.13|GCX-y64|4.0|5755.0||
|225068|216747218.0|||
artificial-rs.13|GCX-y128|3.0|3581.0||
|315413|216747218.0|||
artificial-rs.13|GC2|15.0|6616.0||
artificial-rs.13|GC4|8.0|3308.0||
artificial-rs.13|GC8|5.0|6615.0||
