file|algorithm|nLevels|xs_size|compressed_size|plain_size
pseudo-real-sources.001.2|GC32|3.0|3201.0|9.09|100.0
pseudo-real-sources.001.2|GC64|3.0|401.0|10.62|100.0
pseudo-real-sources.001.2|GC128|2.0|6401.0|14.64|100.0
pseudo-real-dblp.xml.00001.1|GCX-y4|2.0|26214402.0|81.35|100.0
pseudo-real-dblp.xml.00001.1|GCX-y8|2.0|11650846.0|36.05|100.0
pseudo-real-dblp.xml.00001.1|GCX-y16|2.0|2912712.0|10.78|100.0
pseudo-real-dblp.xml.00001.1|GCX-y32|3.0|2912714.0|11.74|100.0
pseudo-real-dblp.xml.00001.1|GCX-y64|2.0|409601.0|1.68|100.0
pseudo-real-dblp.xml.00001.1|GCX-y128|2.0|237773.0|21.91|100.0
pseudo-real-dblp.xml.00001.1|GC2|19.0|201.0|0.65|100.0
pseudo-real-dblp.xml.00001.1|GC4|10.0|101.0|0.59|100.0
pseudo-real-dblp.xml.00001.1|GC8|7.0|51.0|0.66|100.0
pseudo-real-dblp.xml.00001.1|GC16|5.0|101.0|0.75|100.0
pseudo-real-dblp.xml.00001.1|GC32|4.0|101.0|0.94|100.0
pseudo-real-dblp.xml.00001.1|GC64|4.0|7.0|1.19|100.0
pseudo-real-dblp.xml.00001.1|GC128|3.0|51.0|1.35|100.0
artificial-fib41|GCX-y4|1.0|66978575.0|215.58|255.5
artificial-fib41|GCX-y8|2.0|29768257.0|92.27|255.5
artificial-fib41|GCX-y16|8.0|39377.0|0.12|255.5
artificial-fib41|GCX-y32|5.0|8679.0|0.16|255.5
artificial-fib41|GCX-y64|4.0|2940.0|0.17|255.5
artificial-fib41|GCX-y128|3.0|4426.0|0.27|255.5
artificial-fib41|GC2|15.0|8178.0|0.13|255.5
artificial-fib41|GC4|8.0|4089.0|0.14|255.5
artificial-fib41|GC8|5.0|8177.0|0.17|255.5
artificial-fib41|GC16|4.0|4089.0|0.2|255.5
artificial-fib41|GC32|3.0|8177.0|0.42|255.5
artificial-fib41|GC64|3.0|1023.0|0.36|255.5
artificial-fib41|GC128|3.0|128.0|1.6|255.5
real-einstein.en.txt|GCX-y4|2.0|116906638.0|390.41|445.96
real-einstein.en.txt|GCX-y8|2.0|29226660.0|93.13|445.96
real-einstein.en.txt|GCX-y16|2.0|9543400.0|35.75|445.96
real-einstein.en.txt|GCX-y32|5.0|2656971.0|17.75|445.96
real-einstein.en.txt|GCX-y64|4.0|1461335.0|18.94|445.96
real-einstein.en.txt|GCX-y128|3.0|749403.0|24.8|445.96
real-einstein.en.txt|GC2|17.0|3569.0|17.04|445.96
real-einstein.en.txt|GC4|9.0|1785.0|16.67|445.96
real-einstein.en.txt|GC8|6.0|1784.0|20.93|445.96
real-einstein.en.txt|GC16|5.0|447.0|29.73|445.96
real-einstein.en.txt|GC32|4.0|446.0|38.96|445.96
real-einstein.en.txt|GC64|3.0|1784.0|42.93|445.96
real-einstein.en.txt|GC128|3.0|223.0|69.69|445.96
real-coreutils|GCX-y4|2.0|51320446.0|167.39|195.77
real-coreutils|GCX-y8|2.0|8211272.0|81.17|195.77
real-coreutils|GCX-y16|2.0|4189425.0|80.79|195.77
real-coreutils|GCX-y32|2.0|2052819.0|88.03|195.77
real-coreutils|GCX-y64|2.0|1047357.0|99.44|195.77
real-coreutils|GCX-y128|2.0|633586.0|107.7|195.77
real-coreutils|GC2|13.0|25060.0|90.82|195.77
real-coreutils|GC4|7.0|12530.0|84.93|195.77
real-coreutils|GC8|5.0|6265.0|84.48|195.77
real-coreutils|GC16|4.0|3133.0|105.47|195.77
real-coreutils|GC32|3.0|6265.0|126.58|195.77
real-coreutils|GC64|3.0|784.0|151.4|195.77
real-coreutils|GC128|2.0|12530.0|171.72|195.77
artificial-rs.13|GCX-y4|1.0|54186805.0|174.41|206.71
artificial-rs.13|GCX-y8|2.0|24083026.0|74.64|206.71
artificial-rs.13|GCX-y16|8.0|31857.0|0.12|206.71
artificial-rs.13|GCX-y32|6.0|18433.0|0.17|206.71
artificial-rs.13|GCX-y64|4.0|5755.0|0.21|206.71
artificial-rs.13|GCX-y128|3.0|3581.0|0.3|206.71
artificial-rs.13|GC2|15.0|6616.0|0.18|206.71
artificial-rs.13|GC4|8.0|3308.0|0.18|206.71
artificial-rs.13|GC8|5.0|6615.0|0.21|206.71
artificial-rs.13|GC16|4.0|3308.0|0.28|206.71
artificial-rs.13|GC32|3.0|6615.0|0.4|206.71
artificial-rs.13|GC64|3.0|827.0|0.67|206.71
artificial-rs.13|GC128|3.0|104.0|1.85|206.71
real-Escherichia_Coli|GCX-y4|2.0|28172380.0|87.32|107.47
real-Escherichia_Coli|GCX-y8|2.0|3130265.0|36.37|107.47
real-Escherichia_Coli|GCX-y16|2.0|1126896.0|39.58|107.47
real-Escherichia_Coli|GCX-y32|2.0|1126896.0|39.58|107.47
real-Escherichia_Coli|GCX-y64|2.0|1126896.0|39.58|107.47
real-Escherichia_Coli|GCX-y128|2.0|1126896.0|39.58|107.47
real-Escherichia_Coli|GC2|12.0|27514.0|56.92|107.47
real-Escherichia_Coli|GC4|6.0|27513.0|53.8|107.47
real-Escherichia_Coli|GC8|4.0|27513.0|34.35|107.47
real-Escherichia_Coli|GC16|3.0|27513.0|97.83|107.47
real-Escherichia_Coli|GC32|3.0|3440.0|102.25|107.47
real-Escherichia_Coli|GC64|2.0|27513.0|106.59|107.47
real-Escherichia_Coli|GC128|2.0|6879.0|107.91|107.47
real-einstein.de.txt|GCX-y4|2.0|23189612.0|71.99|88.46
real-einstein.de.txt|GCX-y8|2.0|5797404.0|18.05|88.46
real-einstein.de.txt|GCX-y16|2.0|2576624.0|10.29|88.46
real-einstein.de.txt|GCX-y32|3.0|2318963.0|9.38|88.46
real-einstein.de.txt|GCX-y64|3.0|1220509.0|8.52|88.46
real-einstein.de.txt|GCX-y128|2.0|80241.0|12.97|88.46
real-einstein.de.txt|GC2|16.0|1417.0|7.05|88.46
real-einstein.de.txt|GC4|8.0|1416.0|6.81|88.46
real-einstein.de.txt|GC8|6.0|354.0|8.33|88.46
real-einstein.de.txt|GC16|4.0|1416.0|11.6|88.46
real-einstein.de.txt|GC32|4.0|89.0|12.75|88.46
real-einstein.de.txt|GC64|3.0|354.0|18.55|88.46
real-einstein.de.txt|GC128|3.0|45.0|34.01|88.46
artificial-tm29|GCX-y4|1.0|67108865.0|224.0|256.0
artificial-tm29|GCX-y8|1.0|33554433.0|108.0|256.0
artificial-tm29|GCX-y16|1.0|16777217.0|52.0|256.0
artificial-tm29|GCX-y32|1.0|8388609.0|25.0|256.0
artificial-tm29|GCX-y64|1.0|4194305.0|12.0|256.0
artificial-tm29|GCX-y128|1.0|2097153.0|5.75|256.0
artificial-tm29|GC2|27.0|3.0|0.0|256.0
artificial-tm29|GC4|14.0|2.0|0.0|256.0
artificial-tm29|GC8|9.0|3.0|0.0|256.0
artificial-tm29|GC16|7.0|2.0|0.0|256.0
artificial-tm29|GC32|6.0|1.0|0.0|256.0
artificial-tm29|GC64|5.0|1.0|0.0|256.0
artificial-tm29|GC128|4.0|2.0|0.0|256.0
pseudo-real-dblp.xml.0001.1|GCX-y4|2.0|26214402.0|81.37|100.0
pseudo-real-dblp.xml.0001.1|GCX-y8|2.0|11650846.0|36.12|100.0
pseudo-real-dblp.xml.0001.1|GCX-y16|2.0|2912712.0|10.95|100.0
pseudo-real-dblp.xml.0001.1|GCX-y32|3.0|2383132.0|11.81|100.0
pseudo-real-dblp.xml.0001.1|GCX-y64|2.0|237773.0|22.1|100.0
pseudo-real-dblp.xml.0001.1|GCX-y128|2.0|59444.0|21.15|100.0
pseudo-real-dblp.xml.0001.1|GC2|17.0|801.0|1.08|100.0
pseudo-real-dblp.xml.0001.1|GC4|9.0|401.0|1.01|100.0
pseudo-real-dblp.xml.0001.1|GC8|6.0|401.0|1.16|100.0
pseudo-real-dblp.xml.0001.1|GC16|5.0|101.0|1.44|100.0
pseudo-real-dblp.xml.0001.1|GC32|4.0|101.0|1.94|100.0
pseudo-real-dblp.xml.0001.1|GC64|3.0|401.0|2.69|100.0
pseudo-real-dblp.xml.0001.1|GC128|3.0|51.0|3.52|100.0
real-world_leaders|GCX-y4|2.0|11742047.0|35.3|44.79
real-world_leaders|GCX-y8|2.0|2935512.0|12.26|44.79
real-world_leaders|GCX-y16|2.0|1304673.0|11.11|44.79
real-world_leaders|GCX-y32|4.0|533731.0|11.31|44.79
real-world_leaders|GCX-y64|3.0|587106.0|13.69|44.79
real-world_leaders|GCX-y128|2.0|36241.0|17.73|44.79
real-world_leaders|GC2|12.0|11468.0|10.61|44.79
real-world_leaders|GC4|6.0|11468.0|9.74|44.79
real-world_leaders|GC8|4.0|11467.0|11.52|44.79
real-world_leaders|GC16|3.0|11467.0|13.69|44.79
real-world_leaders|GC32|3.0|1434.0|16.85|44.79
real-world_leaders|GC64|2.0|11467.0|23.55|44.79
real-world_leaders|GC128|2.0|2867.0|33.45|44.79
pseudo-real-proteins.001.1|GCX-y4|2.0|26214402.0|81.51|100.0
pseudo-real-proteins.001.1|GCX-y8|2.0|6553601.0|20.57|100.0
pseudo-real-proteins.001.1|GCX-y16|2.0|2912712.0|15.14|100.0
pseudo-real-proteins.001.1|GCX-y32|6.0|182046.0|9.04|100.0
pseudo-real-proteins.001.1|GCX-y64|2.0|143838.0|28.91|100.0
pseudo-real-proteins.001.1|GCX-y128|2.0|32274.0|46.38|100.0
pseudo-real-proteins.001.1|GC2|14.0|6401.0|4.95|100.0
pseudo-real-proteins.001.1|GC4|7.0|6401.0|4.54|100.0
pseudo-real-proteins.001.1|GC8|5.0|3201.0|5.69|100.0
pseudo-real-proteins.001.1|GC16|4.0|1601.0|6.88|100.0
pseudo-real-proteins.001.1|GC32|3.0|3201.0|9.09|100.0
pseudo-real-proteins.001.1|GC64|3.0|401.0|10.61|100.0
pseudo-real-proteins.001.1|GC128|2.0|6401.0|14.63|100.0
pseudo-real-dna.001.1|GCX-y4|2.0|26214402.0|81.25|100.0
pseudo-real-dna.001.1|GCX-y8|2.0|2912712.0|11.65|100.0
pseudo-real-dna.001.1|GCX-y16|2.0|1294539.0|27.29|100.0
pseudo-real-dna.001.1|GCX-y32|2.0|534988.0|21.48|100.0
pseudo-real-dna.001.1|GCX-y64|4.0|234061.0|12.76|100.0
pseudo-real-dna.001.1|GCX-y128|2.0|31171.0|39.12|100.0
pseudo-real-dna.001.1|GC2|14.0|6401.0|3.8|100.0
pseudo-real-dna.001.1|GC4|7.0|6401.0|3.49|100.0
pseudo-real-dna.001.1|GC8|5.0|3201.0|4.2|100.0
pseudo-real-dna.001.1|GC16|4.0|1601.0|6.87|100.0
pseudo-real-dna.001.1|GC32|3.0|3201.0|9.06|100.0
pseudo-real-dna.001.1|GC64|3.0|401.0|10.55|100.0
pseudo-real-dna.001.1|GC128|2.0|6401.0|14.5|100.0
pseudo-real-dblp.xml.00001.2|GCX-y4|2.0|26214402.0|81.35|100.0
pseudo-real-dblp.xml.00001.2|GCX-y8|2.0|11650846.0|36.1|100.0
pseudo-real-dblp.xml.00001.2|GCX-y16|2.0|2912712.0|10.89|100.0
pseudo-real-dblp.xml.00001.2|GCX-y32|3.0|2912714.0|11.87|100.0
pseudo-real-dblp.xml.00001.2|GCX-y64|2.0|409601.0|1.68|100.0
pseudo-real-dblp.xml.00001.2|GCX-y128|2.0|237773.0|22.25|100.0
pseudo-real-dblp.xml.00001.2|GC2|19.0|201.0|0.65|100.0
pseudo-real-dblp.xml.00001.2|GC4|10.0|101.0|0.59|100.0
pseudo-real-dblp.xml.00001.2|GC8|7.0|51.0|0.66|100.0
pseudo-real-dblp.xml.00001.2|GC16|5.0|101.0|0.75|100.0
pseudo-real-dblp.xml.00001.2|GC32|4.0|101.0|0.94|100.0
pseudo-real-dblp.xml.00001.2|GC64|4.0|7.0|1.19|100.0
pseudo-real-dblp.xml.00001.2|GC128|3.0|51.0|1.35|100.0
